fips,state,per_capita_income,total_employment,avg_annual_wage,elec_rate_cents_kwh,poverty_rate,unemployment_rate,pop_density,median_age,pct_bachelors
29097,MO,32590.333333333332,56245.0,34176.0,11.361255749319488,18.9,7.3999999999999995,181.58482457486696,35.06666666666667,19.2
29159,MO,31919.666666666668,18165.666666666668,31026.666666666668,10.088355077768805,17.2,8.299999999999999,61.30004245886156,37.13333333333333,15.700000000000001
29001,MO,28046.666666666668,9907.666666666666,27878.333333333332,9.740712630980589,24.7,8.233333333333333,44.81742355338397,28.733333333333334,26.3
29017,MO,27903.666666666668,1806.0,25171.0,9.757113468309282,19.3,8.799999999999999,20.09589407631822,42.166666666666664,10.1
29055,MO,28202.0,6262.333333333333,30169.333333333332,9.716728278506139,19.0,10.933333333333332,33.2751048180617,40.1,11.0
51105,VA,26450.333333333332,5222.333333333333,31707.666666666668,9.425297389624752,24.1,7.933333333333333,58.4679672989142,41.0,11.966666666666667
51840,VA,,25397.333333333332,42507.666666666664,10.340518759491466,20.4,7.466666666666666,2842.7426665216285,36.199999999999996,29.46666666666667
51161,VA,,34398.666666666664,35846.666666666664,,6.2,5.766666666666667,367.2456641708043,42.666666666666664,32.666666666666664
51011,VA,31239.666666666668,3129.3333333333335,27046.666666666668,11.028708981355729,16.4,8.0,44.30661273078334,42.699999999999996,13.200000000000001
51119,VA,40212.666666666664,3209.3333333333335,29051.0,11.044668644654392,8.2,6.6000000000000005,83.22719251131743,50.63333333333333,27.2
51071,VA,32351.666666666668,4763.666666666667,36457.333333333336,10.771986110155678,14.1,8.266666666666667,48.10333758836659,42.76666666666667,16.3
51081,VA,,4450.333333333333,31304.333333333332,11.074375418830929,21.2,9.0,41.21348431320081,41.13333333333333,7.133333333333333
51023,VA,41132.666666666664,9248.0,36080.333333333336,10.9960520662193,6.7,5.966666666666666,60.90361787085825,44.300000000000004,22.833333333333332
51021,VA,29086.0,1904.6666666666667,38120.0,10.714058865721642,14.2,7.7,19.172321620797927,44.56666666666666,11.366666666666667
51159,VA,28107.0,3089.0,31364.666666666668,,14.1,6.7,48.52080482701232,42.9,9.933333333333334
51036,VA,35056.0,1439.6666666666667,36761.666666666664,,11.4,8.833333333333334,39.463972312890576,46.36666666666667,12.433333333333332
